scorer,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,408.39862060546875,343.2382507324219,0.9999945163726807,437.68609619140625,369.0095520019531,0.9999996423721313,447.0832824707031,341.0550231933594,0.9999998807907104,481.8741149902344,371.6354064941406,0.9999997615814209,520.519287109375,380.0124816894531,0.9999980926513672
1,408.39862060546875,343.2383117675781,0.9999945163726807,437.68609619140625,369.011962890625,0.9999996423721313,447.0832824707031,341.0553283691406,0.9999998807907104,481.8741149902344,371.64239501953125,0.9999997615814209,520.5224609375,380.0124816894531,0.9999980926513672
2,408.39862060546875,345.63543701171875,0.9999938011169434,437.68609619140625,370.9121398925781,0.9999998807907104,447.0832824707031,341.85504150390625,0.9999998807907104,481.8741149902344,371.64239501953125,0.9999998807907104,520.5623168945312,380.0124816894531,0.9999984502792358
3,408.3952331542969,345.6360778808594,0.9999938011169434,437.6788635253906,370.9165344238281,0.9999998807907104,447.07763671875,341.8575439453125,0.9999998807907104,481.87237548828125,371.6354064941406,0.9999998807907104,520.572509765625,380.00970458984375,0.9999984502792358
4,404.8858642578125,350.0859069824219,0.9999970197677612,436.36285400390625,372.5614013671875,0.9999998807907104,442.8775329589844,342.5167236328125,0.9999997615814209,481.15576171875,370.3446044921875,0.9999998807907104,520.572509765625,379.8729248046875,0.9999978542327881
5,404.75225830078125,350.0897521972656,0.9999972581863403,436.3536376953125,372.6368713378906,0.9999998807907104,442.80633544921875,342.6071472167969,0.9999997615814209,481.10076904296875,370.337890625,0.9999998807907104,520.572509765625,379.7782897949219,0.9999977350234985
6,401.28192138671875,350.0897521972656,0.9999909400939941,433.3931884765625,372.6398010253906,0.9999998807907104,441.2547302246094,343.5230407714844,0.9999996423721313,479.9396667480469,370.13983154296875,0.9999992847442627,520.325439453125,379.4495544433594,0.9999988079071045
7,401.27801513671875,350.0859069824219,0.9999908208847046,433.3917541503906,372.6398010253906,0.9999998807907104,441.254150390625,343.523681640625,0.9999996423721313,479.9360046386719,370.13800048828125,0.9999992847442627,520.3215942382812,379.44891357421875,0.9999988079071045
8,400.0018005371094,350.39971923828125,0.999994158744812,431.9114074707031,373.0412292480469,0.9999996423721313,439.15130615234375,344.49786376953125,0.9999997615814209,478.7566833496094,369.8882751464844,0.9999995231628418,520.3215942382812,379.44891357421875,0.9999990463256836
9,400.0013122558594,350.40032958984375,0.999994158744812,431.9109191894531,373.0412292480469,0.9999996423721313,439.1511535644531,344.4989318847656,0.9999997615814209,478.75360107421875,369.8882751464844,0.9999995231628418,520.1465454101562,378.99853515625,0.9999990463256836
10,398.7403259277344,353.2879638671875,0.9999850988388062,431.1526184082031,373.0412292480469,0.9999996423721313,435.8916015625,345.13201904296875,0.9999997615814209,478.6006164550781,369.37091064453125,0.9999996423721313,520.1465454101562,378.99835205078125,0.9999983310699463
11,398.638427734375,353.2879638671875,0.9999884366989136,429.787841796875,373.0412292480469,0.9999997615814209,435.0190124511719,345.2698974609375,0.9999998807907104,477.5436706542969,369.37091064453125,0.9999996423721313,520.1465454101562,378.99853515625,0.9999990463256836
12,398.6370544433594,353.2879638671875,0.9999885559082031,429.787841796875,373.0412292480469,0.9999997615814209,435.017333984375,345.2724609375,0.9999998807907104,477.54351806640625,369.37091064453125,0.9999996423721313,520.1465454101562,379.6167907714844,0.9999990463256836
13,397.6941833496094,352.3299255371094,0.9999828338623047,429.56298828125,372.48638916015625,0.9999996423721313,435.017333984375,345.2724609375,0.9999998807907104,477.29937744140625,369.15478515625,0.9999996423721313,519.4033203125,379.04925537109375,0.9999992847442627
14,397.59747314453125,352.2854919433594,0.9999860525131226,429.5617980957031,372.48638916015625,0.9999996423721313,435.017333984375,345.2724609375,0.9999998807907104,477.29083251953125,369.15478515625,0.9999996423721313,519.3275146484375,379.0622863769531,0.9999994039535522
15,397.3791809082031,351.0265197753906,0.999975323677063,429.1378479003906,372.8558654785156,0.9999997615814209,435.4744567871094,344.7432861328125,0.9999998807907104,477.1219482421875,369.65185546875,0.9999996423721313,519.3275146484375,379.0622863769531,0.9999991655349731
16,397.378662109375,351.02557373046875,0.999975323677063,429.1371765136719,372.855224609375,0.9999997615814209,435.4748229980469,344.7393493652344,0.9999998807907104,477.1219482421875,369.6505126953125,0.9999996423721313,519.3275146484375,379.04925537109375,0.9999991655349731
17,396.54119873046875,350.0110778808594,0.9999707937240601,428.80157470703125,372.7635192871094,0.9999997615814209,435.4748229980469,344.7393493652344,0.9999998807907104,476.544921875,369.6505126953125,0.9999994039535522,519.163330078125,379.035400390625,0.9999990463256836
18,396.54119873046875,350.0098876953125,0.9999707937240601,428.79840087890625,372.78045654296875,0.9999997615814209,435.4744567871094,344.7432861328125,0.9999998807907104,476.5409851074219,369.65185546875,0.9999994039535522,519.163330078125,379.02923583984375,0.9999991655349731
19,396.54119873046875,348.593994140625,0.9999868869781494,428.0709533691406,372.78045654296875,0.9999996423721313,435.43658447265625,344.7432861328125,0.9999996423721313,476.00018310546875,369.65185546875,0.9999995231628418,519.2103881835938,379.0207824707031,0.9999991655349731
