scorer,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,360.10943603515625,516.7734375,0.9999954700469971,342.56036376953125,499.4598083496094,0.9999996423721313,337.3924560546875,528.6497192382812,0.9999996423721313,301.77874755859375,507.1234436035156,0.9999979734420776,259.6892395019531,509.2779541015625,0.9999996423721313
1,360.10943603515625,516.7734375,0.9999945163726807,342.56036376953125,499.4598083496094,0.9999997615814209,337.3924560546875,528.6497192382812,0.9999992847442627,301.77874755859375,509.61834716796875,0.9999982118606567,259.6892395019531,510.7701110839844,0.9999991655349731
2,360.10943603515625,516.7734375,0.9999946355819702,342.56036376953125,499.4598083496094,0.9999997615814209,337.3924560546875,528.6497192382812,0.9999992847442627,301.77874755859375,509.6361389160156,0.9999979734420776,259.6892395019531,510.77130126953125,0.9999990463256836
3,360.10943603515625,513.3705444335938,0.9999912977218628,340.39599609375,498.6577453613281,0.9999998807907104,337.3319396972656,527.3455200195312,0.9999986886978149,300.9303894042969,509.6361389160156,0.9999986886978149,259.3168640136719,510.77130126953125,0.999998927116394
4,360.10943603515625,513.3695068359375,0.9999914169311523,340.3956604003906,498.6573791503906,0.9999998807907104,337.3313903808594,527.3445434570312,0.9999986886978149,300.91571044921875,509.61834716796875,0.9999986886978149,259.3168640136719,510.7701110839844,0.999998927116394
5,360.2204895019531,511.5119934082031,0.9999502897262573,339.06951904296875,497.7916259765625,0.9999998807907104,337.0722961425781,527.3445434570312,0.9999977350234985,300.8589782714844,509.6977233886719,0.9999985694885254,259.0080871582031,510.7701110839844,0.9999994039535522
6,360.22100830078125,511.51190185546875,0.9999501705169678,339.068359375,497.7903137207031,0.9999998807907104,337.0693664550781,527.3445434570312,0.9999977350234985,300.8576965332031,509.514404296875,0.9999985694885254,259.0080871582031,510.2314453125,0.9999994039535522
7,361.12921142578125,510.51556396484375,0.999988317489624,337.8725891113281,497.5018005371094,0.9999997615814209,336.6724548339844,527.4569702148438,0.9999978542327881,300.42840576171875,509.5069580078125,0.9999986886978149,259.0080871582031,510.22802734375,0.9999994039535522
8,362.572998046875,510.51556396484375,0.9999912977218628,337.8725891113281,497.5015869140625,0.9999998807907104,336.53173828125,527.4569702148438,0.999997615814209,299.23492431640625,509.222900390625,0.9999983310699463,258.9473876953125,510.22802734375,0.9999992847442627
9,362.5730895996094,510.51556396484375,0.9999912977218628,337.8725891113281,497.39129638671875,0.9999998807907104,336.5232849121094,527.4569702148438,0.999997615814209,299.23492431640625,509.222900390625,0.9999983310699463,258.8567810058594,510.59698486328125,0.9999992847442627
10,366.1628723144531,511.4613342285156,0.9999955892562866,338.21514892578125,497.5015869140625,0.9999998807907104,336.5232849121094,527.4569702148438,0.9999986886978149,299.23492431640625,508.8869323730469,0.9999988079071045,258.8567810058594,510.2269287109375,0.9999995231628418
11,366.4017333984375,511.5882263183594,0.9999961853027344,338.2508239746094,497.5018005371094,0.9999998807907104,336.53173828125,527.45751953125,0.9999985694885254,299.4335021972656,508.8869323730469,0.9999988079071045,258.9473876953125,510.2378845214844,0.9999995231628418
12,373.2944030761719,511.6480712890625,0.9999966621398926,341.0477600097656,498.5628356933594,0.9999998807907104,338.4006042480469,527.0365600585938,0.9999994039535522,300.7979736328125,509.222900390625,0.9999984502792358,259.6168518066406,510.2378845214844,0.9999995231628418
13,373.29693603515625,511.6499938964844,0.9999967813491821,341.0495910644531,498.56390380859375,0.9999998807907104,338.4012451171875,527.039794921875,0.9999994039535522,300.79901123046875,509.47265625,0.9999984502792358,259.6212463378906,510.2269287109375,0.9999995231628418
14,375.4337158203125,512.6559448242188,0.9999951124191284,346.5335388183594,499.03729248046875,0.9999998807907104,343.5538635253906,527.5158081054688,0.9999964237213135,303.9254455566406,509.6559143066406,0.9999978542327881,259.7275085449219,509.8875732421875,0.9999994039535522
15,375.4339599609375,512.6559448242188,0.9999951124191284,346.5342712402344,499.0397033691406,0.9999998807907104,343.5697937011719,527.5172119140625,0.9999964237213135,303.9288330078125,509.6600036621094,0.9999978542327881,259.72772216796875,509.88720703125,0.9999994039535522
16,383.55633544921875,512.7100219726562,0.9999971389770508,354.74322509765625,500.3627624511719,0.9999997615814209,352.93890380859375,528.5011596679688,0.9999994039535522,309.94244384765625,510.14605712890625,0.9999963045120239,261.74945068359375,509.40478515625,0.9999994039535522
17,383.5730285644531,512.7117309570312,0.9999973773956299,354.830322265625,500.5150451660156,0.9999998807907104,353.0882568359375,528.54638671875,0.9999994039535522,310.1846923828125,510.2388000488281,0.9999961853027344,261.811767578125,509.3849182128906,0.9999994039535522
18,385.02020263671875,513.775634765625,0.9999991655349731,357.82366943359375,503.2807922363281,0.9999990463256836,357.6031494140625,531.2505493164062,0.9999997615814209,313.51190185546875,512.9594116210938,0.9999955892562866,265.5565490722656,509.3636474609375,0.9999961853027344
