scorer,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000,DLC_resnet50_c57_social_a_and_bAug20shuffle1_2300000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Centro,Centro,Centro,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,235.56568908691406,764.26904296875,0.9999986886978149,188.08956909179688,781.9832763671875,0.9999984502792358,212.0587615966797,813.0907592773438,0.9999955892562866,156.66615295410156,820.8546752929688,0.9999525547027588,119.39411163330078,801.0209350585938,0.9998537302017212
1,235.21131896972656,764.9132690429688,0.9999990463256836,187.57034301757812,782.3825073242188,0.9999991655349731,212.7097625732422,813.414794921875,0.9999969005584717,157.52621459960938,823.6724853515625,0.9999821186065674,120.04682922363281,798.85546875,0.9997352957725525
2,235.75701904296875,765.362548828125,0.9999992847442627,187.75433349609375,782.377685546875,0.9999986886978149,212.97398376464844,813.8955078125,0.9999972581863403,158.53492736816406,822.5894775390625,0.9999464750289917,122.28311920166016,801.414306640625,0.9994124174118042
3,234.7935028076172,765.8818359375,0.9999994039535522,187.7493133544922,782.76708984375,0.9999994039535522,214.0134735107422,814.5613403320312,0.9999946355819702,158.32156372070312,824.4696044921875,0.9999115467071533,121.4659194946289,800.7379150390625,0.9891329407691956
4,235.93258666992188,765.8786010742188,0.9999991655349731,187.75758361816406,782.8672485351562,0.999998927116394,213.99522399902344,814.8819580078125,0.9999961853027344,157.32765197753906,824.9597778320312,0.9999507665634155,118.72464752197266,799.708251953125,0.9992073178291321
5,235.93121337890625,765.86376953125,0.9999991655349731,187.7366180419922,782.84228515625,0.999998927116394,213.67330932617188,814.8802490234375,0.9999963045120239,157.21392822265625,825.0166015625,0.9999523162841797,118.62075805664062,799.7750854492188,0.999240517616272
6,234.7112579345703,765.5916137695312,0.999998927116394,186.67431640625,782.58544921875,0.9999990463256836,211.7034912109375,815.8075561523438,0.9999895095825195,156.4381561279297,824.7948608398438,0.999954104423523,118.81880950927734,801.0557250976562,0.9974009990692139
7,235.11268615722656,765.4156494140625,0.9999986886978149,187.81671142578125,783.0797119140625,0.9999994039535522,213.23397827148438,813.9766845703125,0.9999982118606567,162.30816650390625,824.3339233398438,0.9999485015869141,121.62776184082031,800.9315795898438,0.9935656189918518
8,235.11148071289062,764.7978515625,0.9999983310699463,185.9822540283203,782.0382080078125,0.9999990463256836,212.62425231933594,813.7088623046875,0.9999964237213135,157.08802795410156,825.4671020507812,0.9999756813049316,119.42901611328125,803.7726440429688,0.9974024891853333
9,235.8376007080078,764.4862060546875,0.9999983310699463,187.67543029785156,782.7816772460938,0.9999991655349731,213.3226318359375,814.2705078125,0.9999939203262329,156.24337768554688,825.7952880859375,0.9999513626098633,120.77716827392578,801.4027709960938,0.999971866607666
10,235.48675537109375,765.502685546875,0.999998927116394,189.07766723632812,782.6480102539062,0.9999994039535522,212.85003662109375,815.1968383789062,0.9999940395355225,157.7490997314453,824.3596801757812,0.9999430179595947,122.34998321533203,800.582275390625,0.9983555674552917
11,235.48350524902344,765.5460205078125,0.999998927116394,189.08226013183594,782.645751953125,0.9999994039535522,212.83628845214844,815.2000732421875,0.9999940395355225,157.8498077392578,824.3079833984375,0.999944806098938,122.32813262939453,800.61328125,0.998555600643158
12,236.2670440673828,764.8444213867188,0.9999992847442627,188.21290588378906,782.339111328125,0.9999988079071045,212.70620727539062,814.4317016601562,0.9999970197677612,159.67263793945312,825.8410034179688,0.999884843826294,121.83460235595703,800.7781372070312,0.9982343912124634
13,235.58441162109375,764.8782348632812,0.9999986886978149,187.9306640625,781.6619873046875,0.9999988079071045,213.3288116455078,814.2809448242188,0.9999973773956299,159.63839721679688,822.4129638671875,0.9999722242355347,120.71515655517578,800.8670654296875,0.9985337257385254
14,234.6602783203125,765.8482666015625,0.9999986886978149,187.47268676757812,782.8912963867188,0.9999994039535522,211.9466552734375,815.53955078125,0.9999938011169434,158.2519989013672,823.4825439453125,0.9999880790710449,121.5222396850586,800.35498046875,0.9980810880661011
15,234.8078155517578,765.99072265625,0.9999990463256836,187.6515655517578,782.8093872070312,0.9999990463256836,211.53575134277344,815.5592041015625,0.9999915361404419,158.5403289794922,826.6516723632812,0.9999512434005737,119.89259338378906,799.4520874023438,0.9996471405029297
16,234.7929229736328,765.8710327148438,0.9999992847442627,186.99952697753906,782.6608276367188,0.9999994039535522,211.50831604003906,815.6082153320312,0.999993085861206,157.41563415527344,824.4244384765625,0.9999549388885498,120.58696746826172,800.11328125,0.9997103810310364
17,234.19703674316406,766.3389892578125,0.9999992847442627,186.1175537109375,782.9629516601562,0.9999991655349731,211.30038452148438,814.4395141601562,0.9999948740005493,155.9774627685547,824.6602172851562,0.9999456405639648,121.20124053955078,800.0007934570312,0.9948189854621887
18,234.6343536376953,765.646484375,0.9999990463256836,186.5714874267578,783.1480102539062,0.9999995231628418,212.3961181640625,815.1995239257812,0.9999949932098389,157.5234832763672,825.9017944335938,0.9999332427978516,120.74736785888672,801.2943725585938,0.9981974959373474
19,235.11322021484375,766.1517333984375,0.9999994039535522,187.3468475341797,782.200927734375,0.9999992847442627,212.8295440673828,815.1192016601562,0.999996542930603,157.37840270996094,825.2608642578125,0.9999220371246338,121.53379821777344,798.9227294921875,0.9955124258995056
